Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_186907,EFSA CONTAM,2007,57,Human health,study with volunteers,Human,oral: feed,,BMDL10,=,870.0,ng/kg bw/day,histopathology neoplastic,hepatotoxicity,870.0,=,,True,186907,312.27,,OQIQSTLJSLGHID-WNWIJWBNSA-N,False,,
"Aflatoxins (sum of B1, B2, G1, G2)",EFSA CONTAM,2007,57,Human health,study with volunteers,Human,oral: feed,,BMDL10,=,870.0,ng/kg bw/day,histopathology neoplastic,hepatotoxicity,870.0,=,,True,,,,,False,,Not Found
