Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_11496052,EFSA,2012,1311,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,16.5,mg/kg bw/day,organ weights,endocrine,16.5,=,,True,11496052,447.4,,AWSZRJQNBMEZOI-UHFFFAOYSA-N,False,,
CID_86287518,EFSA,2008,1130,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.7,mg/kg bw/day,histopathology non neoplastic,endocrine,5.7,=,,True,86287518,255.66,,YWTYJOPNNQFBPC-UHFFFAOYSA-N,False,,
CID_86287518,EFSA PPR,2013,2661,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.7,mg/kg bw/day,histopathology non neoplastic,endocrine,5.7,=,,True,86287518,255.66,,YWTYJOPNNQFBPC-UHFFFAOYSA-N,False,,
CID_68595,EFSA FEEDAP,2011,213,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.12,mg/kg bw/day,organ weights,endocrine,0.12,=,,True,68595,934.2,,WQGJEAMPBSZCIF-HKSLRPGUSA-N,False,,
CID_68595,EFSA FEEDAP,2015,2618,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.12,mg/kg bw/day,organ weights,endocrine,0.12,=,,True,68595,934.2,,WQGJEAMPBSZCIF-HKSLRPGUSA-N,False,,
CID_6336,EFSA,2009,1185,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,2.5,mg/kg bw/day,histopathology non neoplastic,endocrine,2.5,=,,True,6336,288.77,,HZJKXKUJVSEEFU-UHFFFAOYSA-N,False,,
CID_6336,EFSA,2010,1223,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,2.5,mg/kg bw/day,histopathology non neoplastic,endocrine,2.5,=,,True,6336,288.77,,HZJKXKUJVSEEFU-UHFFFAOYSA-N,False,,
"Organotin compounds (including TBT, DBT, TPT and DOT)",EFSA AFC,2005,336,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,histopathology neoplastic,endocrine,0.025,=,,True,,,,,False,,Not Found
"Organotin compounds (including TBT, DBT, TPT and DOT)",EFSA CONTAM,2004,63,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,histopathology neoplastic,endocrine,0.025,=,,True,,,,,False,,Not Found
"Organotin compounds (including TBT, DBT, TPT and DOT)",EFSA CONTAM,2005,66,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,histopathology neoplastic,endocrine,0.025,=,,True,,,,,False,,Not Found
Organotin compounds (including n-octyltin compounds),EFSA AFC,2005,336,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,histopathology neoplastic,endocrine,0.025,=,,True,,,,,False,,Not Found
CID_6450826,EFSA,2017,2995,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,1.0,mg/kg bw/day,organ weights,endocrine,1.0,=,,True,6450826,295.8,,CSWIKHNSBZVWNQ-UHFFFAOYSA-N,False,,
Pethoxamid metabolite (MET-22),EFSA,2017,2995,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,1.0,mg/kg bw/day,organ weights,endocrine,1.0,=,,True,,,,,False,,Not Found
CID_43234,EFSA,2017,2974,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,3.6,mg/kg bw/day,organ weights,endocrine,3.6,=,,True,43234,342.2,,STJLVHWMYQXCPB-UHFFFAOYSA-N,False,,
CID_11057771,EFSA,2009,1198,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,1.2,mg/kg bw/day,histopathology non neoplastic,endocrine,1.2,=,,True,11057771,372.2,,FLVBXVXXXMLMOX-UHFFFAOYSA-N,False,,
CID_17754356,EFSA,2018,3107,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,2.4,mg/kg bw/day,organ weights,endocrine,2.4,=,,True,17754356,1477.9,,JFLRKDZMHNBDQS-SGSTVUCESA-N,False,,
CID_5430,EFSA,2014,2570,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,10.0,mg/kg bw/day,histopathology neoplastic,endocrine,10.0,=,,True,5430,201.25,,WJCNZQLZVWNLKY-UHFFFAOYSA-N,False,,
CID_73674,EFSA,2015,2680,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,1.3,mg/kg bw/day,histopathology neoplastic,endocrine,1.3,=,,True,73674,387.4,,AHTPATJNIAFOLR-UHFFFAOYSA-N,False,,
CID_16682746,EFSA CONTAM,2004,63,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,histopathology neoplastic,endocrine,0.025,=,,True,16682746,596.1,,APQHKWPGGHMYKJ-UHFFFAOYSA-N,False,,
