Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
Boron compounds,EFSA AFC,2006,377,Human health,reproduction toxicity,Rat,oral: feed,21.0,NOAEL,=,9.6,mg/kg bw/day,body weight,teratogenic,9.6,=,,True,,,,,False,,Not Found
Boron compounds,EFSA CONTAM,2005,43,Human health,reproduction toxicity,Rat,oral: feed,21.0,NOAEL,=,9.6,mg/kg bw/day,body weight,teratogenic,9.6,=,,True,,,,,False,,Not Found
Boron compounds,EFSA NDA,2004,2,Human health,reproduction toxicity,Rat,oral: feed,21.0,NOAEL,=,9.6,mg/kg bw/day,body weight,teratogenic,9.6,=,,True,,,,,False,,Not Found
