Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_91558,EFSA CEF,2015,2695,Human health,study with volunteers,Human,oral: unspecified,21.0,NOAEL,=,72.0,mg/person/day,ophthalmoscopic examination,systemic,72.0,=,,True,91558,360.9,,LBSFSRMTJJPTCW-DSXUQNDKSA-N,False,,
CID_91558,EFSA CEF,2015,2695,Human health,study with volunteers,Human,oral: unspecified,21.0,NOAEL,=,72.0,mg/person/day,ophthalmoscopic examination,systemic,72.0,=,,True,91558,360.9,,LBSFSRMTJJPTCW-DSXUQNDKSA-N,False,,
CID_16051948,EFSA CEF,2015,2695,Human health,study with volunteers,Human,oral: unspecified,21.0,NOAEL,=,72.0,mg/person/day,ophthalmoscopic examination,systemic,72.0,=,,True,16051948,746.9,,RONWGALEIBILOG-VMJVVOMYSA-N,False,,
