Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_13072565,EFSA CEF,2013,2381,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,13072565,163.3,,FBMVFHKKLDGLJA-XEAPYIEGSA-N,False,,
"1R,2S,5R-isopulegone",EFSA CEF,2017,2931,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,38.0,mg/kg bw/day,clinical chemistry,nephrotoxicity,38.0,=,,True,,,,,False,,Not Found
"1R,2S,5R-isopulegyl acetate",EFSA CEF,2017,2931,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,38.0,mg/kg bw/day,clinical chemistry,nephrotoxicity,38.0,=,,True,,,,,False,,Not Found
CID_1486,EFSA,2014,2555,Human health,subchronic,Rat,oral: unspecified,90.0,NOAEL,=,15.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,15.0,=,,True,1486,221.03,,OVSKIKFHRZPJSS-UHFFFAOYSA-N,False,,
CID_71587434,EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,71587434,189.3,,OJEOXDLLIADRBL-BIIVOSGPSA-N,False,,
CID_71587434,EFSA CEF,2015,2634,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,71587434,189.3,,OJEOXDLLIADRBL-BIIVOSGPSA-N,False,,
"2-Isobutyldihydro-4,6-dimethyl-1,3,5-dithiazine",EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
"2-Isobutyldihydro-4,6-dimethyl-1,3,5-dithiazine",EFSA CEF,2015,2634,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
"2R,5S-isopulegone",EFSA CEF,2017,2931,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,38.0,mg/kg bw/day,clinical chemistry,nephrotoxicity,38.0,=,,True,,,,,False,,Not Found
"4,6-Dimethyl-2-(1-methylethyl)dihydro-1,3,5-dithiazine",EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
"4,6-Dimethyl-2-(1-methylethyl)dihydro-1,3,5-dithiazine",EFSA CEF,2015,2634,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
"5,6-Dihydro-2,4,6,tris(2-methylpropyl)4H-1,3,5-dithiazine",EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
"5,6-Dihydro-2,4,6,tris(2-methylpropyl)4H-1,3,5-dithiazine",EFSA CEF,2013,2381,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
CID_30465,EFSA ANS,2008,558,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,700.0,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,700.0,=,,True,30465,171.16,,OPSXJNAGCGVGOG-DKWTVANSSA-L,False,,
CID_21307,EFSA,2010,1252,Human health,subchronic,Rat,oral: unspecified,90.0,NOAEL,=,5.5,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,5.5,=,,True,21307,235.3,,GYSSRZJIHXQEHQ-UHFFFAOYSA-N,False,,
CID_10420163,EFSA ANS,2008,558,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,700.0,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,700.0,=,,True,10420163,194.63,,LHBCBDOIAVIYJI-DKWTVANSSA-L,False,,
CID_547350,EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,547350,205.4,,AANIECMHWBXFCP-UHFFFAOYSA-N,False,,
CID_547350,EFSA CEF,2015,2634,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,547350,205.4,,AANIECMHWBXFCP-UHFFFAOYSA-N,False,,
Ethyl thialdine,EFSA CEF,2013,2378,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
Ethyl thialdine,EFSA CEF,2015,2634,Human health,subchronic,Rat,oral: feed,90.0,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,9.3,=,,True,,,,,False,,Not Found
CID_6328269,EFSA,2006,1065,Human health,subchronic,Rat,Not reported,90.0,NOAEL,=,500.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,500.0,=,,True,6328269,351.08,,OIPMQULDKWSNGX-UHFFFAOYSA-N,False,,
