Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
Ginger oleoresin (Zingiber officinale Roscoe),EFSA,2020,3638,Human health,subchronic,Rat,oral: gavage,35.0,NOAEL,=,1000.0,mg/kg bw,organ weights,systemic,1000.0,=,,True,,,,,False,,Not Found
Ginger rhizome powder,EFSA,2020,3638,Human health,subchronic,Rat,oral: gavage,35.0,NOAEL,=,1000.0,mg/kg bw,organ weights,systemic,1000.0,=,,True,,,,,False,,Not Found
Ginger tincture (Zingiber officinale Roscoe),EFSA,2020,3638,Human health,subchronic,Rat,oral: gavage,35.0,NOAEL,=,1000.0,mg/kg bw,organ weights,systemic,1000.0,=,,True,,,,,False,,Not Found
