Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_65452,EFSA CONTAM,2007,87,Human health,chronic/long term toxicity,Dog,oral: capsule,365.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,musclo-skeletal,0.5,=,,True,65452,765.0,,VHKXXVVRRDYCIK-CWCPJSEDSA-N,False,,
CID_65452,EFSA FEEDAP,2004,268,Human health,chronic/long term toxicity,Dog,oral: capsule,365.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,musclo-skeletal,0.5,=,,True,65452,765.0,,VHKXXVVRRDYCIK-CWCPJSEDSA-N,False,,
CID_65452,EFSA FEEDAP,2010,207,Human health,chronic/long term toxicity,Dog,oral: capsule,365.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,musclo-skeletal,0.5,=,,True,65452,765.0,,VHKXXVVRRDYCIK-CWCPJSEDSA-N,False,,
CID_65452,EFSA FEEDAP,2010,215,Human health,chronic/long term toxicity,Dog,oral: capsule,365.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,musclo-skeletal,0.5,=,,True,65452,765.0,,VHKXXVVRRDYCIK-CWCPJSEDSA-N,False,,
CID_65452,EFSA FEEDAP,2018,3133,Human health,chronic/long term toxicity,Dog,oral: capsule,365.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,musclo-skeletal,0.5,=,,True,65452,765.0,,VHKXXVVRRDYCIK-CWCPJSEDSA-N,False,,
