Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_15553,EFSA,2006,1061,Animal (non-target species) health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,50.0,mg/kg bw/day,not reported,not reported,50.0,=,,True,15553,192.0,,HUBANNPOLNYSAD-UHFFFAOYSA-N,False,,
CID_39327,EFSA,2010,1268,Animal (non-target species) health,chronic/long term toxicity,Rat,oral: unspecified,730.0,NOAEL,=,20.0,mg/kg bw/day,not reported,not reported,20.0,=,,True,39327,361.7,,OQMBBFQZGJFLBU-UHFFFAOYSA-N,False,,
