Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_11954021,EFSA CONTAM,2007,75,Animal (target species) health,chronic/long term toxicity,Dog,oral: feed,730.0,NOAEL,=,0.075,mg/kg bw/day,clinical chemistry,hepatotoxicity,0.075,=,,True,11954021,409.8,,BIWJNBZANLAXMG-YQELWRJZSA-N,False,,
CID_969491,EFSA CONTAM,2005,69,Animal (target species) health,chronic/long term toxicity,Dog,oral: capsule,730.0,NOAEL,=,0.005,mg/kg bw/day,organ weights,hepatotoxicity,0.005,=,,True,969491,380.9,,DFBKLUNHFCTMDC-PICURKEMSA-N,False,,
CID_15559699,EFSA CONTAM,2007,74,Animal (target species) health,chronic/long term toxicity,Dog,oral: feed,730.0,NOAEL,=,0.025,mg/kg bw/day,clinical chemistry,hepatotoxicity,0.025,=,,True,15559699,389.3,,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,False,,
