Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
"Fumonisins (B1, B2, B3)",EFSA CONTAM,2018,3097,Animal (target species) health,subchronic,Pig,oral: feed,56.0,NOAEL,=,1.0,mg/kg,organ weights,pulmonary and cardiac,1.0,=,,True,,,,,False,,Not Found
Fumonisins and their hidden forms,EFSA CONTAM,2018,3097,Animal (target species) health,subchronic,Pig,oral: feed,56.0,NOAEL,=,1.0,mg/kg,organ weights,pulmonary and cardiac,1.0,=,,True,,,,,False,,Not Found
